Gender,NameSet,GivenName,MiddleInitial,Surname
male,Russian,Julius,E,Kirillov
male,Danish,Mads,M,Steffensen
female,"Russian (Cyrillic)",Станислава,Р,Агафо́нова
male,Ninja,Zumoku,,
female,Polish,Jagoda,T,Kalinowska
male,Ninja,Mirikashitakuari,,
male,Croatian,Zvonimir,S,Pranjić
female,England/Wales,Erin,T,Bevan
female,Croatian,Ljerka,S,Kralj
male,Icelandic,Hafliði,E,Þorvarðarson
male,Polish,Borys,F,Jabłoński
male,Danish,Niels,L,Laursen
male,Igbo,Chinweike,A,Chidozie
female,Finnish,Lempi,M,Ahokas
male,Ninja,Zumorito,,
male,Croatian,Vedran,T,Novak
male,Hungarian,Istvan,M,Nemes
female,Chinese,Cai,O,Ch'eng
male,"Russian (Cyrillic)",Эдуард,А,Самойлов
female,Danish,Anne,T,Dahl
male,Greenland,Inunnguaq,I,Frederiksen
male,Norwegian,Noah,A,Berentsen
female,Klingon,Rana,K,Ilonari
male,Chinese,Ho,J,Hung
male,Persian,هومان,ف,"کریمی زاده"
male,Hispanic,Stefano,A,Peres
female,Vietnamese,Tư,T,Phùng
female,Klingon,Grala,M,Roc
male,Norwegian,Herman,L,Naustdal
female,Greenland,Juliane,M,Hansen
female,Polish,Kunegunda,R,Kowalczyk
female,Russian,Antonina,R,Tikhonova
female,Ninja,Tokatomifu,,
female,Hobbit,Prisca,H,Goldworthy
female,Chinese,Hua,K,Ch'en
male,American,Carl,K,Boisvert
female,Hobbit,Donnamira,F,Roper
male,Eritrean,Ali,S,Luwam
male,Persian,نکیسا,ر,مافی
female,Hobbit,Rowan,I,Headstrong
female,Polish,Felicja,W,Zawadzka
male,Igbo,Chukwukadibia,O,Anenechi
male,Hungarian,Ferko,A,Szél
male,Thai,จิระ,ช,สีมี
female,"Japanese (Anglicized)",Ichiha,J,Umaba
female,Slovenian,Simonida,I,Mijošek
female,Croatian,Janja,N,Tomić
female,"Chinese (Traditional)",柏叡,莊,賴
male,Finnish,Juhani,P,Jantunen
female,Eritrean,Jamila,A,Kinfe
male,Australian,Zachary,E,Charteris
male,Danish,Adam,S,Klausen
female,Eritrean,Demet,A,Aman
female,German,Anna,M,Jung
female,Klingon,L'kor,K,Mortran
female,French,Zurie,P,Forest
male,"Chechen (Latin)",Avtorhan,Z,Shervashidze
male,French,Delmar,A,Landry
male,German,Robert,V,Bach
female,Thai,สุโชติรัตน์,ด,วงศ์ณรัตน์
female,Norwegian,Thea,U,Jørgensen
male,Chinese,Lee,L,Lung
female,Croatian,Snežana,B,Hrvatin
male,Persian,کیا,ب,طلایی
male,Eritrean,Senay,M,Robel
male,Danish,Thomas,L,Karlsen
male,Norwegian,Gustas,R,Skorstad
male,Slovenian,Dimitri,O,Premik
female,Australian,Sienna,J,Pomeroy
female,Persian,بوسه,ت,"دلدار نسب"
female,Persian,یاسمینا,ه,نبوی
female,Czech,Eva,M,Korandová
female,Croatian,Berislava,T,Kovačević
male,Chinese,Lok,C,Tung
female,Vietnamese,Giàu,T,Kim
female,Japanese,香,大,蔵満
female,Norwegian,Lilly,S,Mikalsen
male,England/Wales,Jayden,A,Lowe
male,Scottish,Owen,K,Clark
male,Hispanic,Filippo,P,Alejandro
female,"Chechen (Latin)",Ayna,R,Eldarkhanov
female,Eritrean,Aziza,A,Adonay
male,German,Maximilian,K,Freud
male,"Russian (Cyrillic)",Вячеслав,Я,Бочаро́в
male,Japanese,孝,法,藤平
male,"Chinese (Traditional)",齡儀,雅,姜
male,Italian,Dionisio,D,Milani
female,Hungarian,Broska,S,Gyarmathi
male,Swedish,Jim,E,Norberg
female,Arabic,Yumna,S,Harb
male,Hobbit,Erling,C,Goodbody
male,French,Francis,M,Margand
male,Hispanic,Jonah,T,Macías
female,Persian,مستانه,ن,حکمت
male,England/Wales,Matthew,Y,Kemp
female,Italian,Delmina,R,Milani
female,German,Petra,M,Vogt
female,Hobbit,Hilda,R,Smallburrow
male,Persian,جاوید,آ,تاجیک
male,Croatian,Strahimir,N,Galić
female,Vietnamese,Chánh,T,Thủy
male,Japanese,颯太,優,磯崎
female,French,Belisarda,S,Fortin
male,Brazil,Vitor,C,Ferreira
female,Thai,สุลักษณพร,ก,ยุ้ง
male,Slovenian,Bislim,U,Redžematović
female,Vietnamese,Thao,L,Văn
male,Croatian,Božo,M,Miletić
male,Italian,Fedro,C,Toscano
female,Croatian,Patricija,M,Hrvat
male,Hispanic,Desiderio,V,Villalobos
male,Polish,Konstantyn,J,Czerwinski
female,Persian,آذرمیدخت,ا,کریمی
female,"Chechen (Latin)",Kesira,D,Chichigov
male,Igbo,Azikiwe,O,Tobeolisa
male,Icelandic,Smári,J,Geirmundsson
female,Greenland,Else,P,Heilmann
male,Ninja,Rinkachichi,,
female,French,Zara,S,Bois
female,"Chinese (Traditional)",淑芬,富,路
male,Danish,Torben,A,Henriksen
male,Hungarian,Deli,P,Gyôry
female,Slovenian,Ani,S,Kramperšek
female,Croatian,Eva,V,Tomić
male,Brazil,Vitór,C,Costa
female,Scottish,Carmen,J,Anderson
male,Brazil,Diego,P,Cunha
male,Dutch,Ronnie,S,Ettema
male,Ninja,Mekurukito,,
female,Eritrean,Fiyori,A,Mewael
female,Norwegian,Linnea,A,Løvås
female,Igbo,Nneka,I,Odinakachukwu
female,"Russian (Cyrillic)",Евгения,Х,Евдокимова
female,Italian,Alfreda,A,Endrizzi
female,Vietnamese,Toại,T,Mai
male,England/Wales,James,L,Fitzgerald
female,Polish,Urszula,L,Kucharska
female,Thai,สุธัญญชล,ก,วระโงน
male,Italian,Ortensio,I,Lori
female,Italian,Sandra,S,Trevisan
male,Persian,فرزان,پ,نوری
female,England/Wales,Paige,M,Rice
female,Japanese,皐,昭,浪岡
male,Persian,مهران,ن,خداویسی
male,Russian,Edward,Y,Yefimov
male,Czech,Michal,E,Jedlička
female,"Chechen (Latin)",Malkhazni,B,Arsanukayev
male,Slovenian,Saško,M,Gregorš
male,Danish,Philip,E,Svendsen
female,Hobbit,Ruby,F,Goold
female,Ninja,Zukushichirika,,
male,Finnish,Aatos,E,Kauppila
male,Hobbit,Flavus,B,Chubb
female,Scottish,Kirsty,R,Anderson
male,Hobbit,Bucca,G,Gamgee
male,Croatian,Daniel,K,Poljak
male,"Russian (Cyrillic)",Борислав,Д,Сергеев
male,Italian,Divo,D,Buccho
male,French,Rule,R,Bériault
female,"Chinese (Traditional)",孝慈,柏,符
male,"Russian (Cyrillic)",Леонид,Н,Истомин
male,Australian,Gabriel,C,Vancouver
female,"Chinese (Traditional)",虹均,柏,佘
female,Norwegian,Thea,O,Lunde
male,Australian,Nate,B,Walton
male,Vietnamese,Quỳnh,﻿,Võ
female,Ninja,Arichikunorikatokiku,,
female,American,April,M,Hill
male,Eritrean,Isaias,D,Kifle
male,Brazil,Estevan,B,Lima
female,"Russian (Cyrillic)",Евпраксия,А,Шубина
male,Croatian,Berivoj,H,Marinović
female,England/Wales,Tegan,A,Storey
male,Scottish,Julian,G,Craig
female,Swedish,Alwa,K,Bergman
female,England/Wales,Harriet,L,Ross
male,Danish,Jakob,C,Eriksen
male,Thai,ชูธง,ส,ลำพวน
male,Swedish,Linus,C,Engström
male,Slovenian,Miloslav,S,Daraboš
female,Hispanic,Elsy,O,Acuna
female,American,Christie,E,Walter
female,Scottish,Natalia,T,Kennedy
male,Persian,اسپوتا,م,محربی
male,Greenland,Gerth,P,Geisler
female,"Chinese (Traditional)",巧欣,莊,姜
male,Japanese,正博,舞,慶田
male,England/Wales,Adam,K,Brown
female,Eritrean,Negisti,A,Tesfay
male,Greenland,Rasmus,M,Abelsen
male,French,Felicien,P,Duffet
male,Slovenian,Al,M,Kec
female,Klingon,W'Lika,K,Mogh
female,Norwegian,Andrea,M,Østbø
female,Swedish,Sigrid,S,Åberg
male,Hungarian,Uros,Z,Pálinkás
female,Eritrean,Lidya,B,Samuel
male,Igbo,Iheanacho,A,Tobenna
male,Italian,Taziano,P,Dellucci
male,Hungarian,Ozséb,M,Sáry
female,Hispanic,Gioseppina,A,Arenas
female,Finnish,Nelma,K,Mönkkönen
female,Finnish,Maija,T,Mallat
female,Dutch,Esri,S,Haalboom
male,Japanese,翔太,小,河辺
male,Hobbit,Bercilac,D,Longhole
male,Dutch,Pieter-Bas,C,"van der Peet"
female,Danish,Sofia,M,Damgaard
female,"Chechen (Latin)",Rukiyat,S,Sheripov
female,Hungarian,Czigany,V,Pusztai
female,Chinese,"Li Mei",Y,Su
female,French,Julie,P,Brochu
male,Danish,Gustav,A,Berg
male,Hungarian,Vayk,K,Dénes
male,Finnish,Hessu,J,Sistonen
female,Hobbit,Goldilocks,S,Gawkroger
female,Greenland,Martha,S,Sandgreen
female,"Chinese (Traditional)",艾竹,家,崔
male,Vietnamese,Lanh,Đ,Lý
male,Hobbit,Nob,M,Goold
female,Japanese,雨夜,勇,浜元
female,Scottish,Rhian,K,Ferguson
male,Dutch,Ludovic,S,Weijer
female,Slovenian,Hatije,G,Kosernik
male,Croatian,Blago,M,Mihaljević
female,Japanese,雪子,義,淵田
male,Japanese,太陽,麗,猪飼
female,Swedish,Cindy,V,Norberg
female,Dutch,Jodi,S,"van Vlaanderen"
male,Brazil,Lucas,P,Santos
male,Eritrean,Eyob,Z,Filmon
female,"Japanese (Anglicized)",Hagino,K,Kanada
male,Hungarian,Tarján,S,Baranyay
female,Swedish,Angelica,N,Blom
male,Finnish,Seppo,S,Pirhonen
male,England/Wales,Andrew,M,Nicholson
male,Persian,برسام,ش,مرادعلی
male,Ninja,Shimotetokufu,,
male,Icelandic,Daníel,I,Ingvason
male,Hispanic,Dugan,E,Guerra
female,Danish,Rikke,V,Christiansen
male,Japanese,真一,緑,須々木
female,Arabic,Nadwa,B,Malouf
female,"Russian (Cyrillic)",Варвара,А,Голова́нова
female,German,Johanna,E,Propst
male,Finnish,Matti,A,Hagström
female,Icelandic,Katrin,K,Hermannsdóttir
female,Norwegian,Celina,J,Davidsen
female,Ninja,Kutakizikazukuchiri,,
female,Dutch,Hasret,W,Lentjes
female,"Chechen (Latin)",Taymaskha,F,Barsukov
male,Swedish,Vilde,S,Öberg
female,Brazil,Nicole,S,Fernandes
male,Greenland,Gerth,J,Rosing
female,Arabic,'Iffah,W,Fakhoury
female,Polish,Stanisława,B,"Dąbrowski "
male,Croatian,Pavao,T,Popović
female,Vietnamese,Chúc,T,Lương
female,"Russian (Cyrillic)",Ева,А,Шубина
female,Klingon,Kembri,K,Horon
female,Brazil,Vitoria,S,Santos
male,Croatian,Vidoslav,B,Topić
female,Igbo,Somayina,O,Nwabugwu
male,Ninja,Zushifukato,,
male,Klingon,Kreg,G,Emara
female,Czech,Marie,F,Svobodová
female,Swedish,Denize,V,Olofsson
female,German,Stefanie,K,Hirsch
female,Australian,Maya,M,"De Groot"
male,Chinese,Hui,H,Kung
male,"Chechen (Latin)",Kerim,A,Bazhaev
female,"Japanese (Anglicized)",Sanako,T,Oota
female,Japanese,節子,大,宝来
male,Hungarian,Attila,V,Somogyi
male,Klingon,Kobalt,D,Lorexen
female,Slovenian,Nedjija,S,Sampt
female,Norwegian,Michelle,H,Hatlevik
male,Dutch,Kyllian,R,"van de Wijdeven"
male,Russian,Arthur,L,Yevseyev
female,Slovenian,Mia,G,Mohorović
female,Japanese,七海,昭,上床
female,Brazil,Tânia,L,Dias
male,Thai,ชัยวุธ,ส,เสิกภูเขียว
male,German,Max,C,Ackerman
male,Japanese,大樹,美,松苗
male,French,Langley,T,Beaudry
male,Dutch,Özhan,A,Koolstra
male,Czech,Tomáš,H,Šmída
male,Swedish,Ayub,M,Johnsson
female,Croatian,Cvijeta,J,Popović
female,Chinese,Qiao,W,Hsüeh
male,England/Wales,Leon,E,Griffiths
male,German,Max,F,Amsel
male,Persian,شاهرخ,آ,طایی
female,Eritrean,Hana,D,Kinfe
female,Australian,Brooke,A,Schutt
male,Finnish,Arvi,S,Kaitainen
female,"Chechen (Latin)",Zezig,I,Gairbekov
female,Japanese,陽子,翔,細貝
female,Hungarian,Karola,Z,Bognár
male,Dutch,Adrian,K,"van Lohuizen"
male,Thai,อัศวพาหุ,ส,อาตะวงษ์
male,Australian,Declan,E,Collee
male,"Chechen (Latin)",Sirazhdi,S,Gairbekov
female,Hispanic,Quinta,B,Segovia
male,"Russian (Cyrillic)",Раис,А,Воронин
male,German,Tobias,V,Dresdner
male,Scottish,Alexander,K,Kerr
female,Vietnamese,Tý,T,Vương
male,Igbo,Chukwujamuike,K,Nnaife
male,Hispanic,Cyprien,R,Bahena
female,German,Christin,A,Hoch
male,Chinese,Cong,C,Yuan
male,Arabic,Saleem,A,Bahar
female,Australian,Abby,J,Garlick
female,Croatian,Ruža,M,Nikolić
female,"Russian (Cyrillic)",Алла,Л,Голова́нова
male,Persian,مهران,م,"خدابنده لو"
female,Swedish,Dana,C,Martinsson
male,Brazil,Kai,C,Ribeiro
female,Swedish,Melisa,F,Strömberg
female,Norwegian,Maria,J,Boge
female,Hungarian,Vanessza,D,Gombos
female,"Chechen (Latin)",Yeza,S,Vedzizhev
male,Danish,Patrick,L,Frederiksen
female,Australian,Sofia,J,Marou
male,Hobbit,Bingo,R,Zaragamba
female,"Chechen (Latin)",Ezinet,R,Kadyrov
male,American,Jean,C,Myles
female,Ninja,Chikushikuarika,,
female,Australian,Grace,J,Wynne
male,Greenland,Hans,M,Brandt
female,Italian,Carola,U,Mazzanti
male,England/Wales,Rhys,O,Bell
male,"Chechen (Latin)",Saidakhmad,S,Batukayev
male,Scottish,Leighton,T,Gibson
male,Russian,Nikon,Y,Yuriev
male,Eritrean,Alem,M,Hamid
female,"Russian (Cyrillic)",Руслана,А,Пирогова
female,Chinese,Hua,C,Yin
female,Brazil,Gabriela,F,Barros
female,Dutch,Jorna,F,"de Mos"
male,Russian,Alex,F,Golubov
male,Croatian,Emil,L,Hrvat
male,French,Barry,J,Davignon
male,Arabic,Fateen,A,Nassar
female,German,Christin,M,Fuhrmann
male,Dutch,Djayden,M,"van de Wardt"
female,Hungarian,Krisztina,B,Sántha
male,Hispanic,Baruj,L,Comejo
male,Italian,Jacopo,M,Padovano
male,Hispanic,Aron,S,Llarnas
female,Chinese,Chan,S,Hsu
female,Persian,آنیتا,ب,طاهرنژاد
female,Ninja,Tekutakika,,
male,"Russian (Cyrillic)",Лукас,И,Козлов
female,England/Wales,Aaliyah,M,Wallace
female,French,Victorine,A,Chassé
female,Arabic,Intisaar,A,Antar
female,Chinese,Lei,L,Li
female,Slovenian,Devleta,M,Gošler
female,Brazil,Rebeca,S,Fernandes
male,"Chechen (Latin)",Alauddin,D,Kishiev
male,Norwegian,Nicklas,S,Fagertun
female,Swedish,Elisa,N,Petersson
female,Vietnamese,Hạ,T,Thạch
female,Danish,Laerke,S,Nygaard
male,Igbo,Kamdibe,D,Nwankwo
male,Norwegian,Linus,A,Gustavsen
female,Persian,مژگان,ف,غایی
male,Finnish,Ville-Veik,K,Peltomaa
male,Italian,Nestore,R,Onio
female,American,Kristine,C,Jackson
female,Danish,Laerke,F,Koch
male,"Japanese (Anglicized)",Kiichi,M,Machida
male,Norwegian,Lucas,C,Monsen
female,German,Simone,N,Scholz
female,Ninja,Zukashizukashika,,
female,"Chinese (Traditional)",惠如,建,戴
female,Eritrean,Zemzem,A,Sheshy
female,Swedish,Jonna,A,Arvidsson
female,Croatian,Natalija,S,Obad
male,"Chinese (Traditional)",威任,中,杜
female,"Chechen (Latin)",Kamisa,A,Melikov
male,Finnish,Ville,L,Poutanen
female,Scottish,Jade,T,McDonald
female,Polish,Matylda,T,Szczepańska
female,"Chinese (Traditional)",佳慧,嘉,田
male,Danish,Daniel,A,Villadsen
male,Greenland,Mikael,L,Nielsen
male,Russian,Borislav,H,Anisimov
male,Czech,Miloslav,K,Menšík
male,Scottish,Scott,C,Grant
female,Finnish,Raakel,K,Groop
male,Japanese,茂,優,片貝
female,Russian,Eric,A,Gorbunova
female,Klingon,R'Valkra,S,Lomakh
male,Polish,Kuba,D,Adamski
male,Norwegian,Bror,K,Martinsen
female,Italian,"Calliope ",S,Gallo
male,Finnish,Joona,K,Larnia
male,"Chechen (Latin)",Denilbek,N,Panova
female,England/Wales,Georgia,E,Herbert
male,"Russian (Cyrillic)",Карл,Ю,Сидоров
female,Hobbit,Amanda,G,Gardner
female,Slovenian,Vfemalea,M,Hren
female,Greenland,Eva,A,Sørensen
female,Polish,Celestyna,S,Chmielewska
male,Swedish,Yonis,D,Jonsson
male,England/Wales,Freddie,J,Cole
female,Australian,Abbey,B,McClintock
male,England/Wales,Christopher,T,Glover
male,Danish,Andreas,M,Kristensen
female,French,Daisi,F,Ruel
male,Eritrean,Goytiom,T,Alem
male,Danish,Christoffer,F,Thorsen
female,Croatian,Biserka,A,Ćosić
female,Slovenian,Emila,T,Šumer
female,Eritrean,Huriyyah,M,Yonatan
male,Croatian,Dejan,M,Marić
female,Persian,بوسه,آ,"وسمه چی"
male,Brazil,Antônio,F,Almeida
male,Croatian,Andrej,M,Perić
female,Slovenian,Advija,D,Dakaj
female,Hispanic,Letizia,I,Laureano
male,French,Hugh,A,Chalifour
male,"Chechen (Latin)",Dzhambulat,D,Barsukov
female,Swedish,Edith,G,Karlsson
male,Arabic,Ashraf,S,Saliba
female,Slovenian,Antonija,T,Jakara
male,Eritrean,Amanuel,S,Hagos
female,German,Martina,S,Abt
female,Czech,Jana,M,Nevrklová
female,Chinese,Jin,F,Chiu
female,Slovenian,Kimi,M,Kancilija
male,American,David,J,Sisco
male,French,Tearlach,L,Gaillard
female,Scottish,Skye,P,Duncan
female,"Chinese (Traditional)",書媺,令,姚
female,Japanese,霞,勝,上野山
female,Persian,بهار,د,تقوی
male,Hobbit,Iago,E,Underhill
female,Icelandic,Kristjana,S,Birgisdóttir
male,French,Ferragus,A,Rocher
male,"Chinese (Traditional)",阡華,鈺,侯
female,Finnish,Natalia,K,Nikula
female,Finnish,Petra,T,Pasanen
female,Norwegian,Maria,I,Reiten
male,England/Wales,Zachary,E,Griffin
male,Italian,Fosco,S,Napolitani
female,"Chinese (Traditional)",晉唯,于,郭
male,Hungarian,János,K,Szölôs
female,Danish,Sara,M,Christoffersen
female,Scottish,Isabelle,C,Gordon
male,England/Wales,Joseph,T,Ward
female,Chinese,Qiong,S,Kao
male,Scottish,Danny,L,Moore
female,Vietnamese,Tăng,C,Ngô
female,Scottish,Carmen,C,McIntyre
female,Japanese,遥,学,鬼柳
female,Swedish,Signe,Y,Lundgren
female,Thai,สุนนทยา,ก,สมพงษ์พันธ์
male,"Chinese (Traditional)",詠絮,淑,佘
male,Finnish,Ari-Pekka,M,Varis
female,Ninja,Mefudotoji,,
female,England/Wales,Emma,J,Pugh
male,"Japanese (Anglicized)",Etsushi,U,Hirai
male,Dutch,Yash,D,Dingemans
male,Hobbit,Valdemar,T,Sandyman
male,French,Norris,C,Pelletier
female,Klingon,J'Grala,R,Mishtak
male,Polish,Andrzej,K,Nowicki
male,Arabic,"Diya al Din",F,Antar
female,Hispanic,Yuki,E,Tello
female,Arabic,Hazar,H,Tahan
male,Thai,กิตติเวช,ส,ลาภไธสง
female,Igbo,Chisom,C,Tobeolisa
male,Danish,Mark,N,Frederiksen
male,Thai,กุลทัต,ด,เหล่าหวายนอก
female,Croatian,Milena,M,Hrvatin
male,Ninja,Mochikiari,,
male,Dutch,Tarık,R,"ten Tije"
female,England/Wales,Megan,C,Lawson
male,Hungarian,Deli,F,Bencik
male,Ninja,Rinkichimirikutata,,
female,Australian,Lucy,X,Goward
male,Japanese,颯太,優,鹿又
female,Thai,สุยุพารัตน์,ด,มาคะวงค์
female,Klingon,Khidri,M,Gomorrac
female,Hispanic,Laurentina,F,Esquibel
male,"Japanese (Anglicized)",Youku,S,Koda
female,"Russian (Cyrillic)",Муза,П,Агафо́нова
female,Brazil,Matilde,C,Costa
female,Dutch,Michaela,A,Keij
female,Hungarian,Blanka,M,Vég
female,"Chinese (Traditional)",雅玲,立,許
male,Dutch,Yonah,N,Kuijvenhoven
female,Thai,สุบุญสี,ฐ,ยินดี
male,Igbo,Sopuluchukwu,I,Nnanna
male,Japanese,哲也,結,永浦
female,"Japanese (Anglicized)",Masuho,T,Shirakawa
male,"Chinese (Traditional)",御儂,正,雷
male,Polish,Bonifacy,R,Sokołowski
female,Italian,Frida,Q,"Li Fonti"
male,Eritrean,Yemane,M,Nasih
female,Vietnamese,Dung,T,Đinh
female,Russian,Vitaly,R,Matveyeva
male,"Japanese (Anglicized)",Shigenori,M,Takeuchi
female,Igbo,Urunna,T,Obidimkpa
male,German,Leon,P,Kortig
female,"Russian (Cyrillic)",Моника,Л,Богданова
male,Czech,Bedřich,K,Švehla
male,Ninja,Shikimirikashite,,
female,"Chinese (Traditional)",雅涵,振,蔡
male,Swedish,Colin,L,Nyman
female,French,Julie,S,Flamand
male,England/Wales,Billy,C,Pugh
male,Ninja,Meikuaritakufu,,
female,Vietnamese,Đoan,T,Phùng
female,Eritrean,Winta,H,Luwam
male,Hungarian,Titusz,D,Faragó
male,Hobbit,Marmaduc,D,Bolger-Baggins
male,Arabic,Abdul-'Adl,A,Issa
male,Hungarian,Áron,G,Császár
male,Norwegian,Isak,M,Pedersen
female,Icelandic,Þórný,V,Eiríksdóttir
female,American,Evelyn,A,Fernandes
female,Igbo,Yobachukwu,I,Amaechi
male,Danish,Mohammad,A,Østergaard
female,England/Wales,Tia,N,Wheeler
male,Norwegian,Lucas,M,Håland
male,Greenland,Edvard,A,Lennert
female,Arabic,Sumayyah,D,Mustafa
male,Russian,Eugene,A,Bezrukov
male,Hispanic,Román,O,Ríos
female,Danish,Rebecca,R,Nissen
male,Australian,Elijah,S,Wilkes
male,Persian,آریانا,آ,خلیفه
male,Klingon,Koroth,D,Mivoloss
male,"Chechen (Latin)",Yunadi,R,Khadzhiyev
male,Hungarian,Jenci,I,Huszár
male,French,André,R,Bellemare
male,Russian,Vlad,S,Bezrukov
female,Brazil,Brenda,C,Cunha
male,Russian,Seraphim,N,Pokrovskii
male,Danish,Emil,E,Johnsen
male,Polish,Maksym,B,Wysocki
female,Slovenian,Fehrija,V,Cindel
female,"Japanese (Anglicized)",Kazuko,S,Kichikawa
female,England/Wales,Lara,J,Talbot
male,England/Wales,Logan,M,Fowler
male,Greenland,Martin,K,Larsen
female,Dutch,Madelinde,M,Nagel
female,Dutch,Hava,C,Schokker
female,Finnish,Selma,M,Karppinen
male,Icelandic,Bragi,P,Jakobsson
female,Polish,Łucja,W,Kamińska
female,Arabic,Khuzama,,Maalouf
female,Persian,مهنوش,م,طاهباز
female,Eritrean,Adiam,I,Iggi
male,French,Tearlach,G,Parenteau
female,Italian,"Lara ",P,Giordano
male,French,Gill,M,Salmons
male,American,Matthew,E,Davis
female,Russian,Lydia,R,Pirogova
female,"Chechen (Latin)",Dagmara,Y,Usamov
female,Swedish,Moa,A,Mattsson
male,Norwegian,Tobias,K,Olaisen
male,Norwegian,Ahmad,C,Jensen
male,French,Donat,M,Côté
male,"Russian (Cyrillic)",Лазарь,С,Кузнецов
male,Japanese,翔太,弘,岸良
male,Australian,Harry,S,Furneaux
female,Croatian,Lea,F,Vuković
female,Croatian,Ksenija,V,Popović
male,Slovenian,Juri,I,Brodnjak
female,Polish,Julita,C,Sobczak
male,Scottish,McKenzie,C,Young
male,Greenland,Søren,J,Isaksen
male,Vietnamese,Cao,H,Dương
female,Scottish,Mia,L,Russell
male,"Russian (Cyrillic)",Александр,К,Фролов
female,Vietnamese,Tý,N,Lương
female,"Japanese (Anglicized)",Ayuko,Y,Tairakawa
female,Vietnamese,Quy,T,Đỗ
male,American,Francisco,B,Rivera
male,Brazil,Júlio,R,Silva
male,Icelandic,Össur,V,Ólafsson
male,Russian,Hleb,L,Butusov
female,Australian,Laura,M,Queale
female,Swedish,Nora,B,Mårtensson
female,Australian,Amy,M,"St George"
female,Ninja,Katarinka,,
male,Thai,ถิรวัฒน์,ส,พิทักษ์เสมา
male,French,Aleron,M,Saucier
female,Arabic,Jumaana,L,Rahal
female,French,Armina,C,Lacroix
male,Igbo,Chike,A,Onwubiko
male,American,Joseph,B,Ray
male,Thai,ดนิรุจน์,ส,สินเธาว์
male,Dutch,Aron,D,Aarnink
female,Scottish,Connie,W,Henderson
female,Hungarian,Gabriella,R,Szalay
male,Swedish,Atle,E,Ek
male,Danish,Christian,L,Mortensen
male,Croatian,Andrej,K,Matijević
male,Hungarian,Agoston,I,Herczeg
female,Eritrean,Fatimah,Y,Biniam
male,Dutch,Sjaak,M,Hesseling
male,Thai,คนิตพงศ์,ช,แก้วไพรัช
female,Dutch,Tyra,J,Saris
male,Russian,Sebastian,F,Muravyov
female,Norwegian,Otilie,J,Fagerheim
male,Croatian,Niko,H,Herceg
female,Ninja,Zukashizukashika,,
female,Scottish,Shelby,C,Scott
male,Hispanic,Linus,A,Cabrera
male,Eritrean,Semhar,S,Saare
female,Polish,Honorata,W,Jaworska
male,Italian,Donato,E,Cattaneo
female,Hobbit,Nina,P,Sackville-Baggins
female,Greenland,Ivalu,P,Nielsen
male,Brazil,Rafael,A,Pereira
female,"Russian (Cyrillic)",Зарина,Д,Муравьёва
male,Czech,František,V,Kubala
male,Hispanic,Raidis,A,Feliciano
male,Igbo,Onyekachi,C,Onwuamaegbu
female,"Japanese (Anglicized)",Mafumi,T,Oono
male,French,Marmion,F,Duplanty
female,Greenland,Paninnguaq,O,Lundblad
male,"Chinese (Traditional)",棋茗,婷,陶
male,Hispanic,Sinforiano,E,Linares
male,Scottish,Dexter,R,Hill
